financial_year,sending_location,age_group,stay_type,measure,value,value_scotland
2017/18,East Ayrshire,0-17 years,Long Stay,Number of People,0,90
2017/18,East Ayrshire,18-64 years,All Stays,"Rate per 1,000 People",0.9,1.1
2017/18,East Ayrshire,18-64 years,All Stays,Number of People,65,3835
2017/18,East Ayrshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0,0.2
2017/18,East Ayrshire,18-64 years,Short Stay / Respite,Number of People,0,765
2017/18,East Ayrshire,18-64 years,Long Stay,"Rate per 1,000 People",0.9,0.9
2017/18,East Ayrshire,18-64 years,Long Stay,Number of People,65,3115
2017/18,East Ayrshire,65-74 years,All Stays,"Rate per 1,000 People",6.5,6.8
2017/18,East Ayrshire,65-74 years,All Stays,Number of People,90,3860
2017/18,East Ayrshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0,0.8
2017/18,East Ayrshire,65-74 years,Short Stay / Respite,Number of People,0,430
2017/18,East Ayrshire,65-74 years,Long Stay,"Rate per 1,000 People",6.5,6.3
2017/18,East Ayrshire,65-74 years,Long Stay,Number of People,90,3530
2017/18,East Ayrshire,75-84 years,All Stays,"Rate per 1,000 People",37.1,33.5
2017/18,East Ayrshire,75-84 years,All Stays,Number of People,285,10930
2017/18,East Ayrshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",2,3.5
2017/18,East Ayrshire,75-84 years,Short Stay / Respite,Number of People,15,1145
2017/18,East Ayrshire,75-84 years,Long Stay,"Rate per 1,000 People",35.8,31
2017/18,East Ayrshire,75-84 years,Long Stay,Number of People,275,10120
2017/18,East Ayrshire,85+ years,All Stays,"Rate per 1,000 People",154,141.5
2017/18,East Ayrshire,85+ years,All Stays,Number of People,395,17240
2017/18,East Ayrshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",3.9,11.6
2017/18,East Ayrshire,85+ years,Short Stay / Respite,Number of People,10,1415
2017/18,East Ayrshire,85+ years,Long Stay,"Rate per 1,000 People",150.1,133.6
2017/18,East Ayrshire,85+ years,Long Stay,Number of People,385,16275
2017/18,East Dunbartonshire,All Ages,All Stays,"Rate per 1,000 People",9,6.6
2017/18,East Dunbartonshire,All Ages,All Stays,Number of People,975,35990
2017/18,East Dunbartonshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.3,0.7
2017/18,East Dunbartonshire,All Ages,Short Stay / Respite,Number of People,145,3780
2017/18,East Dunbartonshire,All Ages,Long Stay,"Rate per 1,000 People",7.9,6.1
2017/18,East Dunbartonshire,All Ages,Long Stay,Number of People,855,33140
2017/18,East Dunbartonshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,East Dunbartonshire,0-17 years,All Stays,Number of People,0,125
2017/18,East Dunbartonshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,East Dunbartonshire,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,East Dunbartonshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,East Dunbartonshire,0-17 years,Long Stay,Number of People,0,90
2017/18,East Dunbartonshire,18-64 years,All Stays,"Rate per 1,000 People",1.9,1.1
2017/18,East Dunbartonshire,18-64 years,All Stays,Number of People,120,3835
2017/18,East Dunbartonshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",1.3,0.2
2017/18,East Dunbartonshire,18-64 years,Short Stay / Respite,Number of People,80,765
2017/18,East Dunbartonshire,18-64 years,Long Stay,"Rate per 1,000 People",0.6,0.9
2017/18,East Dunbartonshire,18-64 years,Long Stay,Number of People,40,3115
2017/18,East Dunbartonshire,65-74 years,All Stays,"Rate per 1,000 People",6,6.8
2017/18,East Dunbartonshire,65-74 years,All Stays,Number of People,75,3860
2017/18,East Dunbartonshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8,0.8
2017/18,East Dunbartonshire,65-74 years,Short Stay / Respite,Number of People,10,430
2017/18,East Dunbartonshire,65-74 years,Long Stay,"Rate per 1,000 People",5.6,6.3
2017/18,East Dunbartonshire,65-74 years,Long Stay,Number of People,70,3530
2017/18,East Dunbartonshire,75-84 years,All Stays,"Rate per 1,000 People",34,33.5
2017/18,East Dunbartonshire,75-84 years,All Stays,Number of People,275,10930
2017/18,East Dunbartonshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.1,3.5
2017/18,East Dunbartonshire,75-84 years,Short Stay / Respite,Number of People,25,1145
2017/18,East Dunbartonshire,75-84 years,Long Stay,"Rate per 1,000 People",32.1,31
2017/18,East Dunbartonshire,75-84 years,Long Stay,Number of People,260,10120
2017/18,East Dunbartonshire,85+ years,All Stays,"Rate per 1,000 People",162.4,141.5
2017/18,East Dunbartonshire,85+ years,All Stays,Number of People,505,17240
2017/18,East Dunbartonshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",9.6,11.6
2017/18,East Dunbartonshire,85+ years,Short Stay / Respite,Number of People,30,1415
2017/18,East Dunbartonshire,85+ years,Long Stay,"Rate per 1,000 People",156,133.6
2017/18,East Dunbartonshire,85+ years,Long Stay,Number of People,485,16275
2017/18,East Lothian,All Ages,All Stays,"Rate per 1,000 People",7.5,6.6
2017/18,East Lothian,All Ages,All Stays,Number of People,790,35990
2017/18,East Lothian,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7,0.7
2017/18,East Lothian,All Ages,Short Stay / Respite,Number of People,75,3780
2017/18,East Lothian,All Ages,Long Stay,"Rate per 1,000 People",6.9,6.1
2017/18,East Lothian,All Ages,Long Stay,Number of People,720,33140
2017/18,East Lothian,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,East Lothian,0-17 years,All Stays,Number of People,0,125
2017/18,East Lothian,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,East Lothian,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,East Lothian,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,East Lothian,0-17 years,Long Stay,Number of People,0,90
2017/18,East Lothian,18-64 years,All Stays,"Rate per 1,000 People",1,1.1
2017/18,East Lothian,18-64 years,All Stays,Number of People,60,3835
2017/18,East Lothian,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2,0.2
2017/18,East Lothian,18-64 years,Short Stay / Respite,Number of People,10,765
2017/18,East Lothian,18-64 years,Long Stay,"Rate per 1,000 People",0.8,0.9
2017/18,East Lothian,18-64 years,Long Stay,Number of People,50,3115
2017/18,East Lothian,65-74 years,All Stays,"Rate per 1,000 People",7.4,6.8
2017/18,East Lothian,65-74 years,All Stays,Number of People,85,3860
2017/18,East Lothian,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.9,0.8
2017/18,East Lothian,65-74 years,Short Stay / Respite,Number of People,10,430
2017/18,East Lothian,65-74 years,Long Stay,"Rate per 1,000 People",6.9,6.3
2017/18,East Lothian,65-74 years,Long Stay,Number of People,80,3530
2017/18,East Lothian,75-84 years,All Stays,"Rate per 1,000 People",35.2,33.5
2017/18,East Lothian,75-84 years,All Stays,Number of People,240,10930
2017/18,East Lothian,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.4,3.5
2017/18,East Lothian,75-84 years,Short Stay / Respite,Number of People,30,1145
2017/18,East Lothian,75-84 years,Long Stay,"Rate per 1,000 People",30.8,31
2017/18,East Lothian,75-84 years,Long Stay,Number of People,210,10120
2017/18,East Lothian,85+ years,All Stays,"Rate per 1,000 People",158.9,141.5
2017/18,East Lothian,85+ years,All Stays,Number of People,400,17240
2017/18,East Lothian,85+ years,Short Stay / Respite,"Rate per 1,000 People",9.9,11.6
2017/18,East Lothian,85+ years,Short Stay / Respite,Number of People,25,1415
2017/18,East Lothian,85+ years,Long Stay,"Rate per 1,000 People",151,133.6
2017/18,East Lothian,85+ years,Long Stay,Number of People,380,16275
2017/18,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",7.5,6.6
2017/18,East Renfrewshire,All Ages,All Stays,Number of People,715,35990
2017/18,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.8,0.7
2017/18,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,75,3780
2017/18,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",6.9,6.1
2017/18,East Renfrewshire,All Ages,Long Stay,Number of People,655,33140
2017/18,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,East Renfrewshire,0-17 years,All Stays,Number of People,0,125
2017/18,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,East Renfrewshire,0-17 years,Long Stay,Number of People,0,90
2017/18,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",0.6,1.1
2017/18,East Renfrewshire,18-64 years,All Stays,Number of People,35,3835
2017/18,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0,0.2
2017/18,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,0,765
2017/18,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.6,0.9
2017/18,East Renfrewshire,18-64 years,Long Stay,Number of People,35,3115
2017/18,East Renfrewshire,65-74 years,All Stays,"Rate per 1,000 People",6.1,6.8
2017/18,East Renfrewshire,65-74 years,All Stays,Number of People,60,3860
2017/18,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1,0.8
2017/18,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,10,430
2017/18,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",5.1,6.3
2017/18,East Renfrewshire,65-74 years,Long Stay,Number of People,50,3530
2017/18,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",34.4,33.5
2017/18,East Renfrewshire,75-84 years,All Stays,Number of People,215,10930
2017/18,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4,3.5
2017/18,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,25,1145
2017/18,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",31.2,31
2017/18,East Renfrewshire,75-84 years,Long Stay,Number of People,195,10120
2017/18,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",148.9,141.5
2017/18,East Renfrewshire,85+ years,All Stays,Number of People,400,17240
2017/18,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",13,11.6
2017/18,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,35,1415
2017/18,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",137.7,133.6
2017/18,East Renfrewshire,85+ years,Long Stay,Number of People,370,16275
2017/18,Falkirk,All Ages,All Stays,"Rate per 1,000 People",8.1,6.6
2017/18,Falkirk,All Ages,All Stays,Number of People,1295,35990
2017/18,Falkirk,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.1,0.7
2017/18,Falkirk,All Ages,Short Stay / Respite,Number of People,175,3780
2017/18,Falkirk,All Ages,Long Stay,"Rate per 1,000 People",7.2,6.1
2017/18,Falkirk,All Ages,Long Stay,Number of People,1155,33140
2017/18,Falkirk,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,Falkirk,0-17 years,All Stays,Number of People,0,125
2017/18,Falkirk,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Falkirk,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,Falkirk,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,Falkirk,0-17 years,Long Stay,Number of People,0,90
2017/18,Falkirk,18-64 years,All Stays,"Rate per 1,000 People",2.4,1.1
2017/18,Falkirk,18-64 years,All Stays,Number of People,240,3835
2017/18,Falkirk,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.7,0.2
2017/18,Falkirk,18-64 years,Short Stay / Respite,Number of People,65,765
2017/18,Falkirk,18-64 years,Long Stay,"Rate per 1,000 People",1.8,0.9
2017/18,Falkirk,18-64 years,Long Stay,Number of People,180,3115
2017/18,Falkirk,65-74 years,All Stays,"Rate per 1,000 People",10.4,6.8
2017/18,Falkirk,65-74 years,All Stays,Number of People,175,3860
2017/18,Falkirk,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.2,0.8
2017/18,Falkirk,65-74 years,Short Stay / Respite,Number of People,20,430
2017/18,Falkirk,65-74 years,Long Stay,"Rate per 1,000 People",9.5,6.3
2017/18,Falkirk,65-74 years,Long Stay,Number of People,160,3530
2017/18,Falkirk,75-84 years,All Stays,"Rate per 1,000 People",41.1,33.5
2017/18,Falkirk,75-84 years,All Stays,Number of People,390,10930
2017/18,Falkirk,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.7,3.5
2017/18,Falkirk,75-84 years,Short Stay / Respite,Number of People,45,1145
2017/18,Falkirk,75-84 years,Long Stay,"Rate per 1,000 People",37.4,31
2017/18,Falkirk,75-84 years,Long Stay,Number of People,355,10120
2017/18,Falkirk,85+ years,All Stays,"Rate per 1,000 People",152.8,141.5
2017/18,Falkirk,85+ years,All Stays,Number of People,490,17240
2017/18,Falkirk,85+ years,Short Stay / Respite,"Rate per 1,000 People",12.5,11.6
2017/18,Falkirk,85+ years,Short Stay / Respite,Number of People,40,1415
2017/18,Falkirk,85+ years,Long Stay,"Rate per 1,000 People",143.5,133.6
2017/18,Falkirk,85+ years,Long Stay,Number of People,460,16275
2017/18,Fife,All Ages,All Stays,"Rate per 1,000 People",8.6,6.6
2017/18,Fife,All Ages,All Stays,Number of People,3210,35990
2017/18,Fife,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.5,0.7
2017/18,Fife,All Ages,Short Stay / Respite,Number of People,570,3780
2017/18,Fife,All Ages,Long Stay,"Rate per 1,000 People",7.4,6.1
2017/18,Fife,All Ages,Long Stay,Number of People,2765,33140
2017/18,Fife,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,Fife,0-17 years,All Stays,Number of People,0,125
2017/18,Fife,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Fife,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,Fife,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,Fife,0-17 years,Long Stay,Number of People,0,90
2017/18,Fife,18-64 years,All Stays,"Rate per 1,000 People",1.4,1.1
2017/18,Fife,18-64 years,All Stays,Number of People,320,3835
2017/18,Fife,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.5,0.2
2017/18,Fife,18-64 years,Short Stay / Respite,Number of People,120,765
2017/18,Fife,18-64 years,Long Stay,"Rate per 1,000 People",0.9,0.9
2017/18,Fife,18-64 years,Long Stay,Number of People,200,3115
2017/18,Fife,65-74 years,All Stays,"Rate per 1,000 People",8.6,6.8
2017/18,Fife,65-74 years,All Stays,Number of People,365,3860
2017/18,Fife,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.8,0.8
2017/18,Fife,65-74 years,Short Stay / Respite,Number of People,75,430
2017/18,Fife,65-74 years,Long Stay,"Rate per 1,000 People",7.2,6.3
2017/18,Fife,65-74 years,Long Stay,Number of People,305,3530
2017/18,Fife,75-84 years,All Stays,"Rate per 1,000 People",42.1,33.5
2017/18,Fife,75-84 years,All Stays,Number of People,990,10930
2017/18,Fife,75-84 years,Short Stay / Respite,"Rate per 1,000 People",6.8,3.5
2017/18,Fife,75-84 years,Short Stay / Respite,Number of People,160,1145
2017/18,Fife,75-84 years,Long Stay,"Rate per 1,000 People",37.2,31
2017/18,Fife,75-84 years,Long Stay,Number of People,875,10120
2017/18,Fife,85+ years,All Stays,"Rate per 1,000 People",178.8,141.5
2017/18,Fife,85+ years,All Stays,Number of People,1535,17240
2017/18,Fife,85+ years,Short Stay / Respite,"Rate per 1,000 People",25,11.6
2017/18,Fife,85+ years,Short Stay / Respite,Number of People,215,1415
2017/18,Fife,85+ years,Long Stay,"Rate per 1,000 People",161.3,133.6
2017/18,Fife,85+ years,Long Stay,Number of People,1385,16275
2017/18,Highland,All Ages,All Stays,"Rate per 1,000 People",8.6,6.6
2017/18,Highland,All Ages,All Stays,Number of People,2030,35990
2017/18,Highland,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7,0.7
2017/18,Highland,All Ages,Short Stay / Respite,Number of People,165,3780
2017/18,Highland,All Ages,Long Stay,"Rate per 1,000 People",8,6.1
2017/18,Highland,All Ages,Long Stay,Number of People,1880,33140
2017/18,Highland,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,Highland,0-17 years,All Stays,Number of People,0,125
2017/18,Highland,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Highland,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,Highland,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,Highland,0-17 years,Long Stay,Number of People,0,90
2017/18,Highland,18-64 years,All Stays,"Rate per 1,000 People",1.6,1.1
2017/18,Highland,18-64 years,All Stays,Number of People,225,3835
2017/18,Highland,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2,0.2
2017/18,Highland,18-64 years,Short Stay / Respite,Number of People,30,765
2017/18,Highland,18-64 years,Long Stay,"Rate per 1,000 People",1.4,0.9
2017/18,Highland,18-64 years,Long Stay,Number of People,195,3115
2017/18,Highland,65-74 years,All Stays,"Rate per 1,000 People",7.2,6.8
2017/18,Highland,65-74 years,All Stays,Number of People,210,3860
2017/18,Highland,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5,0.8
2017/18,Highland,65-74 years,Short Stay / Respite,Number of People,15,430
2017/18,Highland,65-74 years,Long Stay,"Rate per 1,000 People",6.7,6.3
2017/18,Highland,65-74 years,Long Stay,Number of People,195,3530
2017/18,Highland,75-84 years,All Stays,"Rate per 1,000 People",36.9,33.5
2017/18,Highland,75-84 years,All Stays,Number of People,590,10930
2017/18,Highland,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.1,3.5
2017/18,Highland,75-84 years,Short Stay / Respite,Number of People,50,1145
2017/18,Highland,75-84 years,Long Stay,"Rate per 1,000 People",34.4,31
2017/18,Highland,75-84 years,Long Stay,Number of People,550,10120
2017/18,Highland,85+ years,All Stays,"Rate per 1,000 People",167.3,141.5
2017/18,Highland,85+ years,All Stays,Number of People,1000,17240
2017/18,Highland,85+ years,Short Stay / Respite,"Rate per 1,000 People",10.9,11.6
2017/18,Highland,85+ years,Short Stay / Respite,Number of People,65,1415
2017/18,Highland,85+ years,Long Stay,"Rate per 1,000 People",157.3,133.6
2017/18,Highland,85+ years,Long Stay,Number of People,940,16275
2017/18,Inverclyde,All Ages,All Stays,"Rate per 1,000 People",10,6.6
2017/18,Inverclyde,All Ages,All Stays,Number of People,785,35990
2017/18,Inverclyde,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.4,0.7
2017/18,Inverclyde,All Ages,Short Stay / Respite,Number of People,110,3780
2017/18,Inverclyde,All Ages,Long Stay,"Rate per 1,000 People",8.9,6.1
2017/18,Inverclyde,All Ages,Long Stay,Number of People,700,33140
2017/18,Inverclyde,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,Inverclyde,0-17 years,All Stays,Number of People,0,125
2017/18,Inverclyde,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Inverclyde,0-17 years,Short Stay / Respite,Number of People,0,30
