time_period,financial_quarter,sending_location,age_group,hc_service_provider,nclient,percentage
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,12355,54.8
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,Other,50,0.2
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,Private only,10640,47.2
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,Third Sector,995,4.4
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,32740,50.3
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,Other,245,0.4
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,Other Local Authority,5,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,Private only,29840,45.8
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,Third Sector,6595,10.1
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,40,22.2
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,Private only,95,52.8
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,Third Sector,50,27.8
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3645,29.6
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),18-64 years,Other,110,0.9
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),18-64 years,Other Local Authority,5,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),18-64 years,Private only,5505,44.6
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),18-64 years,Third Sector,3780,30.7
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5420,53.7
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),65-74 years,Other,35,0.3
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),65-74 years,Private only,4485,44.4
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),65-74 years,Third Sector,825,8.2
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,11690,56.3
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),75-84 years,Other,50,0.2
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),75-84 years,Private only,9395,45.3
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),75-84 years,Third Sector,955,4.6
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,11945,54.8
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),85+ years,Other,50,0.2
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),85+ years,Private only,10360,47.6
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),85+ years,Third Sector,985,4.5
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,30560,47.2
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),All Ages,Other,175,0.3
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),All Ages,Other Local Authority,5,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),All Ages,Private only,32120,49.6
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),All Ages,Third Sector,6475,10
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,30,24
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),0-17 years,Private only,70,56
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),0-17 years,Third Sector,30,24
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3235,27
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),18-64 years,Other,115,1
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),18-64 years,Other Local Authority,5,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),18-64 years,Private only,5540,46.3
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),18-64 years,Third Sector,3775,31.5
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,4705,49.5
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),65-74 years,Other,25,0.3
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),65-74 years,Private only,4610,48.5
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),65-74 years,Third Sector,830,8.7
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,10360,53.2
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),75-84 years,Other,20,0.1
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),75-84 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),75-84 years,Private only,9595,49.3
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),75-84 years,Third Sector,865,4.4
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,12230,51.6
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),85+ years,Other,10,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),85+ years,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),85+ years,Private only,12305,51.9
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),85+ years,Third Sector,980,4.1
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2020/21 Q1,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,31050,46.3
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),All Ages,Other,265,0.4
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),All Ages,Other Local Authority,1140,1.7
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),All Ages,Private only,32985,49.2
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),All Ages,Third Sector,6285,9.4
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,35,23.3
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),0-17 years,Private only,85,56.7
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),0-17 years,Third Sector,30,20
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3740,29.7
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),18-64 years,Other,120,1
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),18-64 years,Other Local Authority,135,1.1
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),18-64 years,Private only,5825,46.2
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),18-64 years,Third Sector,3620,28.7
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,4900,48.7
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),65-74 years,Other,40,0.4
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),65-74 years,Other Local Authority,170,1.7
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),65-74 years,Private only,4855,48.2
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),65-74 years,Third Sector,795,7.9
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,10535,51.7
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),75-84 years,Other,50,0.2
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),75-84 years,Other Local Authority,400,2
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),75-84 years,Private only,9930,48.7
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),75-84 years,Third Sector,870,4.3
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,11845,49.6
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),85+ years,Other,55,0.2
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),85+ years,Other Local Authority,435,1.8
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),85+ years,Private only,12295,51.4
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),85+ years,Third Sector,975,4.1
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2020/21 Q2,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,32220,47.4
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),All Ages,Other,500,0.7
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),All Ages,Other Local Authority,5,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),All Ages,Private only,33265,49
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),All Ages,Third Sector,6320,9.3
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,35,22.6
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),0-17 years,Private only,90,58.1
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),0-17 years,Third Sector,35,22.6
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3805,29.1
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),18-64 years,Other,275,2.1
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),18-64 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),18-64 years,Private only,6085,46.5
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),18-64 years,Third Sector,3715,28.4
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5260,50.2
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),65-74 years,Other,70,0.7
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),65-74 years,Private only,5040,48.1
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),65-74 years,Third Sector,770,7.4
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,11075,53.4
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),75-84 years,Other,80,0.4
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),75-84 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),75-84 years,Private only,10045,48.4
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),75-84 years,Third Sector,870,4.2
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,12040,51.3
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),85+ years,Other,80,0.3
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),85+ years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),85+ years,Private only,12005,51.1
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),85+ years,Third Sector,930,4
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2020/21 Q3,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,32335,49.2
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),All Ages,Other,220,0.3
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),All Ages,Other Local Authority,5,0
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),All Ages,Private only,32560,49.5
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),All Ages,Third Sector,5345,8.1
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,45,28.1
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),0-17 years,Private only,85,53.1
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),0-17 years,Third Sector,35,21.9
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3910,31.6
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),18-64 years,Other,95,0.8
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),18-64 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),18-64 years,Private only,6175,49.8
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),18-64 years,Third Sector,2985,24.1
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5405,51.9
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),65-74 years,Other,30,0.3
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),65-74 years,Private only,5045,48.5
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),65-74 years,Third Sector,655,6.3
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,11245,54.6
Financial Quarter,2020/21 Q4,Scotland (All Areas Submitted),75-84 years,Other,45,0.2
