financial_quarter,sending_location,locality,age_group,measure,value
2017/18 Q4,Argyll and Bute,Mid Argyll,All Ages,Number of People,140
2017/18 Q4,Argyll and Bute,Mid Argyll,All Ages,Number of Hours,21295
2017/18 Q4,Argyll and Bute,Mid Argyll,18-64 years,"Rate per 1,000 Population",4.4
2017/18 Q4,Argyll and Bute,Mid Argyll,18-64 years,Number of People,25
2017/18 Q4,Argyll and Bute,Mid Argyll,18-64 years,Number of Hours,4710
2017/18 Q4,Argyll and Bute,Mid Argyll,65-74 years,"Rate per 1,000 Population",12.1
2017/18 Q4,Argyll and Bute,Mid Argyll,65-74 years,Number of People,15
2017/18 Q4,Argyll and Bute,Mid Argyll,65-74 years,Number of Hours,3630
2017/18 Q4,Argyll and Bute,Mid Argyll,75-84 years,"Rate per 1,000 Population",69
2017/18 Q4,Argyll and Bute,Mid Argyll,75-84 years,Number of People,55
2017/18 Q4,Argyll and Bute,Mid Argyll,75-84 years,Number of Hours,6890
2017/18 Q4,Argyll and Bute,Mid Argyll,85+ years,"Rate per 1,000 Population",191.7
2017/18 Q4,Argyll and Bute,Mid Argyll,85+ years,Number of People,45
2017/18 Q4,Argyll and Bute,Mid Argyll,85+ years,Number of Hours,6065
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,All Ages,"Rate per 1,000 Population",17.5
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,All Ages,Number of People,65
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,All Ages,Number of Hours,7690
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,18-64 years,"Rate per 1,000 Population",2.8
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,18-64 years,Number of People,5
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,18-64 years,Number of Hours,995
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,65-74 years,"Rate per 1,000 Population",12.1
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,65-74 years,Number of People,5
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,65-74 years,Number of Hours,785
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,75-84 years,"Rate per 1,000 Population",73.1
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,75-84 years,Number of People,20
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,75-84 years,Number of Hours,1935
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,85+ years,"Rate per 1,000 Population",273.5
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,85+ years,Number of People,30
2017/18 Q4,Argyll and Bute,Mull Iona Coll and Tiree,85+ years,Number of Hours,3975
2017/18 Q4,Argyll and Bute,Oban and Lorn,All Ages,"Rate per 1,000 Population",11.1
2017/18 Q4,Argyll and Bute,Oban and Lorn,All Ages,Number of People,180
2017/18 Q4,Argyll and Bute,Oban and Lorn,All Ages,Number of Hours,26405
2017/18 Q4,Argyll and Bute,Oban and Lorn,18-64 years,"Rate per 1,000 Population",2.8
2017/18 Q4,Argyll and Bute,Oban and Lorn,18-64 years,Number of People,25
2017/18 Q4,Argyll and Bute,Oban and Lorn,18-64 years,Number of Hours,7240
2017/18 Q4,Argyll and Bute,Oban and Lorn,65-74 years,"Rate per 1,000 Population",13.2
2017/18 Q4,Argyll and Bute,Oban and Lorn,65-74 years,Number of People,25
2017/18 Q4,Argyll and Bute,Oban and Lorn,65-74 years,Number of Hours,3225
2017/18 Q4,Argyll and Bute,Oban and Lorn,75-84 years,"Rate per 1,000 Population",52.8
2017/18 Q4,Argyll and Bute,Oban and Lorn,75-84 years,Number of People,60
2017/18 Q4,Argyll and Bute,Oban and Lorn,75-84 years,Number of Hours,7585
2017/18 Q4,Argyll and Bute,Oban and Lorn,85+ years,"Rate per 1,000 Population",165.9
2017/18 Q4,Argyll and Bute,Oban and Lorn,85+ years,Number of People,70
2017/18 Q4,Argyll and Bute,Oban and Lorn,85+ years,Number of Hours,8355
2017/18 Q4,Argyll and Bute,Outside Partnership,All Ages,Number of People,120
2017/18 Q4,Argyll and Bute,Outside Partnership,All Ages,Number of Hours,15380
2017/18 Q4,Argyll and Bute,Outside Partnership,0-17 years,Number of People,0
2017/18 Q4,Argyll and Bute,Outside Partnership,0-17 years,Number of Hours,0
2017/18 Q4,Argyll and Bute,Outside Partnership,18-64 years,Number of People,20
2017/18 Q4,Argyll and Bute,Outside Partnership,18-64 years,Number of Hours,5650
2017/18 Q4,Argyll and Bute,Outside Partnership,65-74 years,Number of People,15
2017/18 Q4,Argyll and Bute,Outside Partnership,65-74 years,Number of Hours,1625
2017/18 Q4,Argyll and Bute,Outside Partnership,75-84 years,Number of People,35
2017/18 Q4,Argyll and Bute,Outside Partnership,75-84 years,Number of Hours,3255
2017/18 Q4,Argyll and Bute,Outside Partnership,85+ years,Number of People,50
2017/18 Q4,Argyll and Bute,Outside Partnership,85+ years,Number of Hours,4845
2017/18 Q4,City of Edinburgh,Edinburgh North East,All Ages,"Rate per 1,000 Population",12.7
2017/18 Q4,City of Edinburgh,Edinburgh North East,All Ages,Number of People,1500
2017/18 Q4,City of Edinburgh,Edinburgh North East,All Ages,Number of Hours,353535
2017/18 Q4,City of Edinburgh,Edinburgh North East,18-64 years,"Rate per 1,000 Population",6
2017/18 Q4,City of Edinburgh,Edinburgh North East,18-64 years,Number of People,500
2017/18 Q4,City of Edinburgh,Edinburgh North East,18-64 years,Number of Hours,215390
2017/18 Q4,City of Edinburgh,Edinburgh North East,65-74 years,"Rate per 1,000 Population",25.5
2017/18 Q4,City of Edinburgh,Edinburgh North East,65-74 years,Number of People,210
2017/18 Q4,City of Edinburgh,Edinburgh North East,65-74 years,Number of Hours,36625
2017/18 Q4,City of Edinburgh,Edinburgh North East,75-84 years,"Rate per 1,000 Population",73.9
2017/18 Q4,City of Edinburgh,Edinburgh North East,75-84 years,Number of People,375
2017/18 Q4,City of Edinburgh,Edinburgh North East,75-84 years,Number of Hours,47750
2017/18 Q4,City of Edinburgh,Edinburgh North East,85+ years,"Rate per 1,000 Population",184.8
2017/18 Q4,City of Edinburgh,Edinburgh North East,85+ years,Number of People,410
2017/18 Q4,City of Edinburgh,Edinburgh North East,85+ years,Number of Hours,53765
2017/18 Q4,City of Edinburgh,Edinburgh North West,All Ages,"Rate per 1,000 Population",8.8
2017/18 Q4,City of Edinburgh,Edinburgh North West,All Ages,Number of People,1285
2017/18 Q4,City of Edinburgh,Edinburgh North West,All Ages,Number of Hours,264385
2017/18 Q4,City of Edinburgh,Edinburgh North West,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,City of Edinburgh,Edinburgh North West,0-17 years,Number of People,0
2017/18 Q4,City of Edinburgh,Edinburgh North West,0-17 years,Number of Hours,185
2017/18 Q4,City of Edinburgh,Edinburgh North West,18-64 years,"Rate per 1,000 Population",2.8
2017/18 Q4,City of Edinburgh,Edinburgh North West,18-64 years,Number of People,255
2017/18 Q4,City of Edinburgh,Edinburgh North West,18-64 years,Number of Hours,110260
2017/18 Q4,City of Edinburgh,Edinburgh North West,65-74 years,"Rate per 1,000 Population",11.9
2017/18 Q4,City of Edinburgh,Edinburgh North West,65-74 years,Number of People,155
2017/18 Q4,City of Edinburgh,Edinburgh North West,65-74 years,Number of Hours,37045
2017/18 Q4,City of Edinburgh,Edinburgh North West,75-84 years,"Rate per 1,000 Population",44.1
2017/18 Q4,City of Edinburgh,Edinburgh North West,75-84 years,Number of People,370
2017/18 Q4,City of Edinburgh,Edinburgh North West,75-84 years,Number of Hours,50060
2017/18 Q4,City of Edinburgh,Edinburgh North West,85+ years,"Rate per 1,000 Population",136.9
2017/18 Q4,City of Edinburgh,Edinburgh North West,85+ years,Number of People,500
2017/18 Q4,City of Edinburgh,Edinburgh North West,85+ years,Number of Hours,66840
2017/18 Q4,City of Edinburgh,Edinburgh South East,All Ages,"Rate per 1,000 Population",8.7
2017/18 Q4,City of Edinburgh,Edinburgh South East,All Ages,Number of People,1185
2017/18 Q4,City of Edinburgh,Edinburgh South East,All Ages,Number of Hours,243915
2017/18 Q4,City of Edinburgh,Edinburgh South East,18-64 years,"Rate per 1,000 Population",3.7
2017/18 Q4,City of Edinburgh,Edinburgh South East,18-64 years,Number of People,360
2017/18 Q4,City of Edinburgh,Edinburgh South East,18-64 years,Number of Hours,122425
2017/18 Q4,City of Edinburgh,Edinburgh South East,65-74 years,"Rate per 1,000 Population",14.7
2017/18 Q4,City of Edinburgh,Edinburgh South East,65-74 years,Number of People,150
2017/18 Q4,City of Edinburgh,Edinburgh South East,65-74 years,Number of Hours,28735
2017/18 Q4,City of Edinburgh,Edinburgh South East,75-84 years,"Rate per 1,000 Population",47
2017/18 Q4,City of Edinburgh,Edinburgh South East,75-84 years,Number of People,270
2017/18 Q4,City of Edinburgh,Edinburgh South East,75-84 years,Number of Hours,34235
2017/18 Q4,City of Edinburgh,Edinburgh South East,85+ years,"Rate per 1,000 Population",136.8
2017/18 Q4,City of Edinburgh,Edinburgh South East,85+ years,Number of People,405
2017/18 Q4,City of Edinburgh,Edinburgh South East,85+ years,Number of Hours,58525
2017/18 Q4,City of Edinburgh,Edinburgh South West,All Ages,"Rate per 1,000 Population",9.7
2017/18 Q4,City of Edinburgh,Edinburgh South West,All Ages,Number of People,1095
2017/18 Q4,City of Edinburgh,Edinburgh South West,All Ages,Number of Hours,232545
2017/18 Q4,City of Edinburgh,Edinburgh South West,18-64 years,"Rate per 1,000 Population",5.1
2017/18 Q4,City of Edinburgh,Edinburgh South West,18-64 years,Number of People,385
2017/18 Q4,City of Edinburgh,Edinburgh South West,18-64 years,Number of Hours,130325
2017/18 Q4,City of Edinburgh,Edinburgh South West,65-74 years,"Rate per 1,000 Population",14.9
2017/18 Q4,City of Edinburgh,Edinburgh South West,65-74 years,Number of People,145
2017/18 Q4,City of Edinburgh,Edinburgh South West,65-74 years,Number of Hours,30530
2017/18 Q4,City of Edinburgh,Edinburgh South West,75-84 years,"Rate per 1,000 Population",43.8
2017/18 Q4,City of Edinburgh,Edinburgh South West,75-84 years,Number of People,240
2017/18 Q4,City of Edinburgh,Edinburgh South West,75-84 years,Number of Hours,30545
2017/18 Q4,City of Edinburgh,Edinburgh South West,85+ years,"Rate per 1,000 Population",141.9
2017/18 Q4,City of Edinburgh,Edinburgh South West,85+ years,Number of People,325
2017/18 Q4,City of Edinburgh,Edinburgh South West,85+ years,Number of Hours,41145
2017/18 Q4,City of Edinburgh,Outside Partnership,All Ages,Number of People,230
2017/18 Q4,City of Edinburgh,Outside Partnership,All Ages,Number of Hours,98115
2017/18 Q4,City of Edinburgh,Outside Partnership,18-64 years,Number of People,80
2017/18 Q4,City of Edinburgh,Outside Partnership,18-64 years,Number of Hours,71420
2017/18 Q4,City of Edinburgh,Outside Partnership,65-74 years,Number of People,30
2017/18 Q4,City of Edinburgh,Outside Partnership,65-74 years,Number of Hours,10395
2017/18 Q4,City of Edinburgh,Outside Partnership,75-84 years,Number of People,45
2017/18 Q4,City of Edinburgh,Outside Partnership,75-84 years,Number of Hours,5630
2017/18 Q4,City of Edinburgh,Outside Partnership,85+ years,Number of People,80
2017/18 Q4,City of Edinburgh,Outside Partnership,85+ years,Number of Hours,10675
2017/18 Q4,Clackmannanshire,Clackmannanshire,All Ages,"Rate per 1,000 Population",16
2017/18 Q4,Clackmannanshire,Clackmannanshire,All Ages,Number of People,820
2017/18 Q4,Clackmannanshire,Clackmannanshire,All Ages,Number of Hours,123600
2017/18 Q4,Clackmannanshire,Clackmannanshire,0-17 years,"Rate per 1,000 Population",0.4
2017/18 Q4,Clackmannanshire,Clackmannanshire,0-17 years,Number of People,5
2017/18 Q4,Clackmannanshire,Clackmannanshire,0-17 years,Number of Hours,370
2017/18 Q4,Clackmannanshire,Clackmannanshire,18-64 years,"Rate per 1,000 Population",6.1
2017/18 Q4,Clackmannanshire,Clackmannanshire,18-64 years,Number of People,190
2017/18 Q4,Clackmannanshire,Clackmannanshire,18-64 years,Number of Hours,54775
2017/18 Q4,Clackmannanshire,Clackmannanshire,65-74 years,"Rate per 1,000 Population",25.1
2017/18 Q4,Clackmannanshire,Clackmannanshire,65-74 years,Number of People,150
2017/18 Q4,Clackmannanshire,Clackmannanshire,65-74 years,Number of Hours,18850
2017/18 Q4,Clackmannanshire,Clackmannanshire,75-84 years,"Rate per 1,000 Population",79.2
2017/18 Q4,Clackmannanshire,Clackmannanshire,75-84 years,Number of People,240
2017/18 Q4,Clackmannanshire,Clackmannanshire,75-84 years,Number of Hours,24065
2017/18 Q4,Clackmannanshire,Clackmannanshire,85+ years,"Rate per 1,000 Population",234.5
2017/18 Q4,Clackmannanshire,Clackmannanshire,85+ years,Number of People,240
2017/18 Q4,Clackmannanshire,Clackmannanshire,85+ years,Number of Hours,25540
2017/18 Q4,Clackmannanshire,Outside Partnership,All Ages,Number of People,40
2017/18 Q4,Clackmannanshire,Outside Partnership,All Ages,Number of Hours,9685
2017/18 Q4,Clackmannanshire,Outside Partnership,0-17 years,Number of People,0
2017/18 Q4,Clackmannanshire,Outside Partnership,0-17 years,Number of Hours,0
2017/18 Q4,Clackmannanshire,Outside Partnership,18-64 years,Number of People,15
2017/18 Q4,Clackmannanshire,Outside Partnership,18-64 years,Number of Hours,6130
2017/18 Q4,Clackmannanshire,Outside Partnership,65-74 years,Number of People,5
2017/18 Q4,Clackmannanshire,Outside Partnership,65-74 years,Number of Hours,1615
2017/18 Q4,Clackmannanshire,Outside Partnership,75-84 years,Number of People,10
2017/18 Q4,Clackmannanshire,Outside Partnership,75-84 years,Number of Hours,885
2017/18 Q4,Clackmannanshire,Outside Partnership,85+ years,Number of People,15
2017/18 Q4,Clackmannanshire,Outside Partnership,85+ years,Number of Hours,1060
2017/18 Q4,Comhairle nan Eilean Siar,Barra,All Ages,"Rate per 1,000 Population",20.1
2017/18 Q4,Comhairle nan Eilean Siar,Barra,All Ages,Number of People,25
2017/18 Q4,Comhairle nan Eilean Siar,Barra,All Ages,Number of Hours,1195
2017/18 Q4,Comhairle nan Eilean Siar,Barra,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Comhairle nan Eilean Siar,Barra,0-17 years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Barra,0-17 years,Number of Hours,0
2017/18 Q4,Comhairle nan Eilean Siar,Barra,18-64 years,"Rate per 1,000 Population",4.4
2017/18 Q4,Comhairle nan Eilean Siar,Barra,18-64 years,Number of People,5
2017/18 Q4,Comhairle nan Eilean Siar,Barra,18-64 years,Number of Hours,120
2017/18 Q4,Comhairle nan Eilean Siar,Barra,65-74 years,"Rate per 1,000 Population",39.3
2017/18 Q4,Comhairle nan Eilean Siar,Barra,65-74 years,Number of People,5
2017/18 Q4,Comhairle nan Eilean Siar,Barra,65-74 years,Number of Hours,345
2017/18 Q4,Comhairle nan Eilean Siar,Barra,75-84 years,"Rate per 1,000 Population",80.8
2017/18 Q4,Comhairle nan Eilean Siar,Barra,75-84 years,Number of People,10
2017/18 Q4,Comhairle nan Eilean Siar,Barra,75-84 years,Number of Hours,525
2017/18 Q4,Comhairle nan Eilean Siar,Barra,85+ years,"Rate per 1,000 Population",212.1
2017/18 Q4,Comhairle nan Eilean Siar,Barra,85+ years,Number of People,5
2017/18 Q4,Comhairle nan Eilean Siar,Barra,85+ years,Number of Hours,205
2017/18 Q4,Comhairle nan Eilean Siar,Harris,All Ages,"Rate per 1,000 Population",18.4
2017/18 Q4,Comhairle nan Eilean Siar,Harris,All Ages,Number of People,35
2017/18 Q4,Comhairle nan Eilean Siar,Harris,All Ages,Number of Hours,1930
2017/18 Q4,Comhairle nan Eilean Siar,Harris,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Comhairle nan Eilean Siar,Harris,0-17 years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Harris,0-17 years,Number of Hours,0
2017/18 Q4,Comhairle nan Eilean Siar,Harris,18-64 years,"Rate per 1,000 Population",2
2017/18 Q4,Comhairle nan Eilean Siar,Harris,18-64 years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Harris,18-64 years,Number of Hours,245
2017/18 Q4,Comhairle nan Eilean Siar,Harris,65-74 years,"Rate per 1,000 Population",13.7
2017/18 Q4,Comhairle nan Eilean Siar,Harris,65-74 years,Number of People,5
2017/18 Q4,Comhairle nan Eilean Siar,Harris,65-74 years,Number of Hours,130
2017/18 Q4,Comhairle nan Eilean Siar,Harris,75-84 years,"Rate per 1,000 Population",56.4
2017/18 Q4,Comhairle nan Eilean Siar,Harris,75-84 years,Number of People,10
2017/18 Q4,Comhairle nan Eilean Siar,Harris,75-84 years,Number of Hours,660
2017/18 Q4,Comhairle nan Eilean Siar,Harris,85+ years,"Rate per 1,000 Population",209.9
2017/18 Q4,Comhairle nan Eilean Siar,Harris,85+ years,Number of People,15
2017/18 Q4,Comhairle nan Eilean Siar,Harris,85+ years,Number of Hours,895
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,All Ages,Number of People,5
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,All Ages,Number of Hours,155
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,0-17 years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,0-17 years,Number of Hours,0
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,18-64 years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,18-64 years,Number of Hours,0
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,65-74 years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,65-74 years,Number of Hours,0
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,75-84 years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,75-84 years,Number of Hours,20
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,85+ years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Outside Partnership,85+ years,Number of Hours,135
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,All Ages,"Rate per 1,000 Population",14
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,All Ages,Number of People,90
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,All Ages,Number of Hours,4745
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,0-17 years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,0-17 years,Number of Hours,0
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,18-64 years,"Rate per 1,000 Population",2
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,18-64 years,Number of People,5
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,18-64 years,Number of Hours,260
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,65-74 years,"Rate per 1,000 Population",11.1
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,65-74 years,Number of People,10
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,65-74 years,Number of Hours,645
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,75-84 years,"Rate per 1,000 Population",42.6
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,75-84 years,Number of People,25
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,75-84 years,Number of Hours,1245
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,85+ years,"Rate per 1,000 Population",247.2
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,85+ years,Number of People,45
2017/18 Q4,Comhairle nan Eilean Siar,Rural Lewis,85+ years,Number of Hours,2590
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,All Ages,"Rate per 1,000 Population",12.8
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,All Ages,Number of People,165
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,All Ages,Number of Hours,8560
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,0-17 years,Number of People,0
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,0-17 years,Number of Hours,0
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,18-64 years,"Rate per 1,000 Population",1.5
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,18-64 years,Number of People,10
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,18-64 years,Number of Hours,540
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,65-74 years,"Rate per 1,000 Population",17.7
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,65-74 years,Number of People,25
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,65-74 years,Number of Hours,1470
2017/18 Q4,Comhairle nan Eilean Siar,Stornoway & Broadbay,75-84 years,"Rate per 1,000 Population",41.4
