financial_year,sending_location,age_group,measure,rate,nclient
2017/18,West Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",49.9,25
2017/18,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients",44.7,30
2017/18,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",50.7,30
2017/18,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients",46.2,60
2017/18,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",54.9,60
2017/18,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients",41.7,50
2017/18,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",51.8,55
2017/18,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients",43.9,5
2017/18,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,West Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients",40.5,170
2018/19,West Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",49.1,170
2018/19,West Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,West Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,West Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients",42.4,25
2018/19,West Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",47.5,25
2018/19,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients",40.5,30
2018/19,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",45.9,30
2018/19,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients",36.1,50
2018/19,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",43.7,50
2018/19,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients",42,55
2018/19,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",53.5,60
2018/19,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients",33.6,5
2018/19,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,West Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients",28.1,120
2019/20,West Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",35.3,120
2019/20,West Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,West Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,West Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients",23.8,15
2019/20,West Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",27.9,15
2019/20,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients",40.5,30
2019/20,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",48.9,30
2019/20,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients",22.2,30
2019/20,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",27.8,30
2019/20,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients",30.5,40
2019/20,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",39.2,45
2019/20,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients",24.5,5
2019/20,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,West Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients",26.4,120
2020/21,West Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",34.6,120
2020/21,West Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,West Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,West Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients",19.7,20
2020/21,West Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",29.9,20
2020/21,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients",47.3,35
2020/21,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",56.9,35
2020/21,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients",22.3,30
2020/21,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",27,30
2020/21,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients",29.9,40
2020/21,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",39.4,40
2020/21,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,West Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients",21.9,95
2021/22,West Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",26,95
2021/22,West Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,West Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,West Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients",16.2,15
2021/22,West Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",20.3,15
2021/22,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients",34.5,25
2021/22,West Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",37.3,25
2021/22,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients",18.9,25
2021/22,West Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",21.6,25
2021/22,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients",23.1,30
2021/22,West Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",28.6,30
2021/22,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,West Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,West Lothian,All Ages,"Rate per 1,000 Social Care Clients",23,185
2017/18,West Lothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",25.9,185
2017/18,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients",14.9,30
2017/18,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",16.8,30
2017/18,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients",24.2,35
2017/18,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",26.2,35
2017/18,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients",22.4,60
2017/18,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",25,60
2017/18,West Lothian,85+ years,"Rate per 1,000 Social Care Clients",32.8,60
2017/18,West Lothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",38.9,60
2017/18,West Lothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,West Lothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,West Lothian,All Ages,"Rate per 1,000 Social Care Clients",19,150
2018/19,West Lothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",22.4,150
2018/19,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients",12.8,25
2018/19,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",14.8,25
2018/19,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients",18.7,25
2018/19,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",20.6,25
2018/19,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients",19,50
2018/19,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",22.3,50
2018/19,West Lothian,85+ years,"Rate per 1,000 Social Care Clients",26.6,50
2018/19,West Lothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",34,50
2018/19,West Lothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,West Lothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,West Lothian,All Ages,"Rate per 1,000 Social Care Clients",19,140
2019/20,West Lothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",23.5,140
2019/20,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients",11.7,20
2019/20,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",13.8,20
2019/20,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients",16.8,20
2019/20,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",19.5,20
2019/20,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients",20.6,50
2019/20,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",25.2,50
2019/20,West Lothian,85+ years,"Rate per 1,000 Social Care Clients",23.1,45
2019/20,West Lothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",31.4,45
2019/20,West Lothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,West Lothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,West Lothian,All Ages,"Rate per 1,000 Social Care Clients",15.2,105
2020/21,West Lothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",17.4,105
2020/21,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients",8.8,15
2020/21,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",10,15
2020/21,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients",18.2,20
2020/21,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",19.4,20
2020/21,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients",18.3,40
2020/21,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",20.5,40
2020/21,West Lothian,85+ years,"Rate per 1,000 Social Care Clients",19.3,35
2020/21,West Lothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",23.7,35
2020/21,West Lothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,West Lothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,West Lothian,All Ages,"Rate per 1,000 Social Care Clients",12.3,85
2021/22,West Lothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",14.2,85
2021/22,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,West Lothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients",5.9,10
2021/22,West Lothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",6.8,10
2021/22,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients",13,15
2021/22,West Lothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",14.5,15
2021/22,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients",11.5,25
2021/22,West Lothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",13.2,25
2021/22,West Lothian,85+ years,"Rate per 1,000 Social Care Clients",16.3,30
2021/22,West Lothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",19.6,30
2021/22,West Lothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,West Lothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
