financial_year,sending_location,age_group,client_group,measure,denominator,nclient,rate
2019/20,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",44836,685,15.3
2019/20,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",47681,2595,54.4
2019/20,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",44836,2430,54.2
2019/20,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",47681,13335,279.7
2019/20,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",44836,12800,285.5
2019/20,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",47681,8475,177.7
2019/20,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",44836,7900,176.2
2019/20,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",47681,17045,357.5
2019/20,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",44836,16200,361.3
2019/20,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients",47681,16085,337.3
2019/20,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",44836,14730,328.5
2019/20,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",47681,5990,125.6
2019/20,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",44836,5880,131.1
2019/20,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients",32947,1800,54.6
2019/20,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",30776,1555,50.5
2019/20,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",32947,15785,479.1
2019/20,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",30776,14660,476.3
2019/20,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",32947,1625,49.3
2019/20,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",30776,1530,49.7
2019/20,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",32947,2830,85.9
2019/20,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",30776,2595,84.3
2019/20,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",32947,13495,409.6
2019/20,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",30776,12850,417.5
2019/20,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients",32947,6495,197.1
2019/20,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",30776,5995,194.8
2019/20,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",32947,2920,88.6
2019/20,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",30776,2810,91.3
2019/20,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients",67936,6340,93.3
2019/20,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",62693,5300,84.5
2019/20,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",67936,39820,586.1
2019/20,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",62693,36705,585.5
2019/20,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",67936,635,9.3
2019/20,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",62693,575,9.2
2019/20,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",67936,2455,36.1
2019/20,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",62693,2105,33.6
2019/20,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",67936,24510,360.8
2019/20,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",62693,23215,370.3
2019/20,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients",67936,9105,134
2019/20,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",62693,8370,133.5
2019/20,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",67936,5510,81.1
2019/20,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",62693,5190,82.8
2019/20,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients",73266,7285,99.4
2019/20,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",64991,5600,86.2
2019/20,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",73266,48025,655.5
2019/20,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",64991,42520,654.2
2019/20,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",73266,145,2
2019/20,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",64991,120,1.8
2019/20,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients",73266,1500,20.5
2019/20,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",64991,1165,17.9
2019/20,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",73266,26420,360.6
2019/20,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",64991,24115,371.1
2019/20,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients",73266,7640,104.3
2019/20,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",64991,6660,102.5
2019/20,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",73266,5095,69.5
2019/20,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",64991,4735,72.9
2019/20,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients",267,15,56.2
2019/20,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",267,190,711.6
2019/20,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",267,5,18.7
2019/20,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients",267,10,37.5
2019/20,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",267,90,337.1
2019/20,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients",267,35,131.1
2019/20,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",267,20,74.9
2019/20,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients",213647,15275,71.5
2020/21,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",198497,12740,64.2
2020/21,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",213647,99015,463.5
2020/21,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",198497,92680,466.9
2020/21,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",213647,20590,96.4
2020/21,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",198497,18100,91.2
2020/21,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients",213647,14445,67.6
2020/21,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",198497,13325,67.1
2020/21,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",213647,76605,358.6
2020/21,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",198497,72515,365.3
2020/21,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients",213647,42085,197
2020/21,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",198497,38660,194.8
2020/21,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",213647,23325,109.2
2020/21,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",198497,22485,113.3
2020/21,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients",2925,0,0
2020/21,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",2529,0,0
2020/21,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",2925,15,5.1
2020/21,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",2529,10,4
2020/21,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",2925,655,223.9
2020/21,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2529,530,209.6
2020/21,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",2925,60,20.5
2020/21,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",2529,55,21.7
2020/21,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",2925,480,164.1
2020/21,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",2529,455,179.9
2020/21,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients",2925,1635,559
2020/21,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",2529,1360,537.8
2020/21,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",2925,610,208.5
2020/21,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",2529,600,237.2
2020/21,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients",46561,530,11.4
2020/21,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",42818,490,11.4
2020/21,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",46561,2555,54.9
2020/21,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",42818,2450,57.2
2020/21,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",46561,17130,367.9
2020/21,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",42818,15060,351.7
2020/21,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",46561,7770,166.9
2020/21,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",42818,7380,172.4
2020/21,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",46561,15485,332.6
2020/21,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",42818,14855,346.9
2020/21,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients",46561,16095,345.7
2020/21,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",42818,14760,344.7
2020/21,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",46561,5105,109.6
2020/21,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",42818,4895,114.3
2020/21,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients",30737,1740,56.6
2020/21,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",29311,1545,52.7
2020/21,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",30737,14340,466.5
2020/21,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",29311,13730,468.4
2020/21,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",30737,1845,60
2020/21,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",29311,1690,57.7
2020/21,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",30737,2740,89.1
2020/21,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",29311,2550,87
2020/21,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",30737,12310,400.5
2020/21,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",29311,11850,404.3
2020/21,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients",30737,6445,209.7
2020/21,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",29311,6120,208.8
2020/21,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",30737,3435,111.8
2020/21,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",29311,3365,114.8
2020/21,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients",62721,5955,94.9
2020/21,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",59308,5095,85.9
2020/21,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",62721,36630,584
2020/21,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",59308,34720,585.4
2020/21,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",62721,745,11.9
2020/21,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",59308,665,11.2
2020/21,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",62721,2375,37.9
2020/21,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",59308,2125,35.8
2020/21,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",62721,22565,359.8
2020/21,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",59308,21585,363.9
2020/21,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients",62721,9360,149.2
2020/21,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",59308,8790,148.2
2020/21,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",62721,6940,110.6
2020/21,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",59308,6745,113.7
